stop_sequence,from_id,to_id,scheduled_time,status,line,type,day,part_of_the_day,delay
7.0,41,70,5,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
11.0,119,139,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,1
5.0,18,12,5,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
8.0,107,38187,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
12.0,116,29,5,departed,Main Line,NJ Transit,Thursday,early_morning,1
10.0,40,74,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
6.0,15,22,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
10.0,144,131,5,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
7.0,61,97,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
7.0,152,14,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
2.0,145,136,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
2.0,124,125,5,estimated,Princeton Shuttle,NJ Transit,Thursday,early_morning,0
7.0,30,77,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
5.0,103,38,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
13.0,38105,107,5,estimated,Raritan Valley,NJ Transit,Thursday,early_morning,0
4.0,101,67,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
6.0,36,120,5,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
1.0,144,144,5,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
4.0,38417,128,5,departed,Main Line,NJ Transit,Thursday,early_morning,0
7.0,127,70,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
13.0,29,115,5,departed,Main Line,NJ Transit,Thursday,early_morning,1
6.0,12,76,5,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
8.0,14,50,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
2.0,148,32905,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
13.0,38187,105,5,estimated,No Jersey Coast,NJ Transit,Thursday,early_morning,0
7.0,159,62,5,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
8.0,70,127,5,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
8.0,97,140,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
11.0,131,51,5,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
17.0,106,38187,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
3.0,136,87,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
7.0,22,8,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
12.0,127,37953,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
4.0,107,37953,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
7.0,71,28,5,departed,Atl. City Line,NJ Transit,Thursday,early_morning,0
1.0,105,105,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
9.0,106,105,5,estimated,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
5.0,128,3,5,departed,Main Line,NJ Transit,Thursday,early_morning,0
8.0,62,156,5,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
2.0,144,78,5,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
1.0,13,13,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
8.0,77,27,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
3.0,113,86,5,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
7.0,120,102,5,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
14.0,145,106,5,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
7.0,76,88,5,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
9.0,50,19,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
5.0,67,39472,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
9.0,140,81,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
1.0,35,35,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
14.0,115,33,5,departed,Main Line,NJ Transit,Thursday,early_morning,1
11.0,74,73,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
6.0,38,84,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
4.0,87,81,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
2.0,32906,103,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
7.0,37169,139,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
13.0,103,125,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
1.0,123,123,5,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
12.0,139,37169,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,1
5.0,37953,109,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
3.0,78,38417,5,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
12.0,51,126,5,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
1.0,74,74,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
9.0,156,42,5,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
6.0,3,151,5,departed,Main Line,NJ Transit,Thursday,early_morning,0
10.0,19,154,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
8.0,102,44,5,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
8.0,8,4,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
8.0,70,41,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
2.0,13,122,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
8.0,88,143,5,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
15.0,33,75,5,departed,Main Line,NJ Transit,Thursday,early_morning,1
9.0,127,83,5,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
12.0,73,130,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
7.0,84,83,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
13.0,37953,107,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,1,1,5,departed,Atl. City Line,NJ Transit,Thursday,early_morning,0
3.0,32905,125,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
5.0,81,140,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
10.0,81,87,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
6.0,109,41,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
6.0,135,57,5,departed,Main Line,NJ Transit,Thursday,early_morning,0
13.0,37169,59,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,1
7.0,151,64,5,departed,Main Line,NJ Transit,Thursday,early_morning,0
3.0,103,38,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
13.0,126,25,5,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
9.0,27,145,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
1.0,63,63,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
9.0,41,109,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
10.0,42,111,5,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
8.0,28,43298,5,departed,Atl. City Line,NJ Transit,Thursday,early_morning,1
4.0,38417,128,5,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
16.0,75,66,5,departed,Main Line,NJ Transit,Thursday,early_morning,1
9.0,143,48,5,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
9.0,4,40,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
4.0,86,26,5,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
1.0,125,125,5,departed,Princeton Shuttle,NJ Transit,Thursday,early_morning,0
6.0,140,97,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
2.0,35,34,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
11.0,87,136,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
9.0,38187,105,5,estimated,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
10.0,83,84,5,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
9.0,44,155,5,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
8.0,64,131,5,departed,Main Line,NJ Transit,Thursday,early_morning,0
11.0,154,106,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
1.0,105,105,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
3.0,122,79,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
